year,Tuvalu,Marshall Islands,Saint Kitts and Nevis,Turks and Caicos Islands,Grenada
1960,0.0,0.0,0.0,0.0,0.0
1965,0.0,0.0,0.0,0.0,0.0
1966,0.0,0.0,0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0,0.0
1970,0.0,0.0,0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0,0.0
1974,0.0,0.0,0.0,0.0,0.0
1975,0.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,0.0
1977,0.0,0.0,0.0,0.0,0.0
1978,0.0,0.0,0.0,0.0,0.0
1979,0.0,0.0,0.0,0.0,0.0
1980,0.0,0.0,0.0,0.0,0.0
1981,0.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0015144325421264653
1991,0.0,0.0,0.0,0.0,0.001473566029792097
1992,0.0,0.0,0.0,0.0,0.0017913697545526525
1993,0.0,0.0,0.0,0.0,0.002760024664050189
1994,0.0,0.0056179775280898875,0.0,0.0,0.0033923275243762964
1995,0.0,0.005206895191511183,0.0,0.0,0.003843936190659235
1996,0.0,0.007082152974504249,0.0069610413717892195,0.0,0.005436545027945749
1997,0.0,0.008900263570037053,0.004695803555066887,0.0,0.009246890070014875
1998,0.0,0.006489353697991122,0.009947999095636446,0.0,0.01327683615819209
1999,0.0,0.008229000260058699,0.015616285554935862,0.0,0.01881617254711064
2000,0.0,0.00824358217763352,0.02639625173225402,0.0,0.04002531834090401
2001,0.0,0.008986823001856175,0.045666072282868696,5.669629175605271,0.059387044174325526
2002,0.0,0.010129183793305931,0.10807539339443195,0.43936304495582096,0.06975820236346333
2003,0.0,0.010973886554236324,0.4738213693437574,0.8924053544321265,0.3890012874747103
2004,0.0510673067102441,0.011830623679617893,0.6225848003434951,1.0975556430101885,0.39537601811607437
2005,0.1311541565778854,0.012146419566777701,1.0914927768860354,65.84705146905605,0.425381392058338
2006,0.15952143569292124,522.616587957497,1.0880232111618382,102.19675262655205,0.41626121742891126
2007,0.17735737511084837,632.795440245753,1.3719025842816122,136.0590832952642,0.460058178563437
2008,3835.669781931464,717.9091719934592,1.5798625837645262,157.9024141200496,0.5334376500293391
2009,0.09607993850883935,794.3201537514227,1.596667089624836,214.82803260907596,1.00663140513382
2010,0.15165876777251186,875.6739553691777,1.6876568993523617,245.23985736392385,1.069809451152676
2011,0.19906542056074766,913.8018916010648,1.6182930161198799,268.85384215991695,1.0529246941297272
2012,0.2579694121982679,988.8320594601843,1.5923900517526768,271.18855397275644,1.1215404789840568
2013,0.3114123465836234,1063.6391961364698,1.611991542278142,250.9376674406144,1.1372867587327375
2014,0.34865583998531974,0.30742378865110376,1.3601456402100902,275.11790767471774,0.9917607567897467
2015,0.6067849590879838,0.3137016798218984,1.5275162167817535,270.54025945590894,1.0085728693898135
2016,0.7003317360855142,1179.9333733369199,1.602912865154432,246.95392982272656,0.9919477185202474
2017,0.7388252678241596,0.33907644054506536,1.6092916187087998,273.1904427266339,0.9344944219779856
2018,5687.988955361252,1326.077975167975,695.6858105986056,290.2113915202353,0.9520839147064134
2019,5864.366557137641,1375.6483634412448,722.6138078470825,314.066852367688,48.74718881392393
